"BrokerID","ExchangeID","InvestorID","ParticipantID","ClientID","InstrumentID","Direction","HedgeFlag","UsedMargin","Position","PositionCost","YdPosition","YdPositionCost","FrozenMargin","FrozenPosition","FrozenClosing","FrozenPremium","LastTradeID","LastOrderLocalID","Currency","PositionProfit","TodayPosition","FrozenTodayClosing","TradeType","AccountID","LastPrice","PositionClose","YdPositionClose","YdFrozenClosing","CacalProfitPosition","OptionType","StrikePrice","OptionInstrumentID","TodayPositionCost","ShortPosition"
"guofu","CZCE","guofu000001","0157","34339703","SR709","1","1","24993.000000","2","5554.000000","2","5554.000000","0.000000","0","0","0.000000","0","0","CNY","0.000000","0","0","1","000001","0.000000","0","0","0","0","0","","","0.000000","0"
"guofu","CZCE","guofu000001","0157","34339703","SR710","1","1","26317.500000","1","35090.000000","1","35090.000000","0.000000","0","0","0.000000","0","0","CNY","0.000000","0","0","1","000001","0.000000","0","0","0","0","0","","","0.000000","0"
