"BrokerID","ExchangeID","InvestorID","ParticipantID","ClientID","InstrumentID","Direction","HedgeFlag","UsedMargin","Position","PositionCost","YdPosition","YdPositionCost","FrozenMargin","FrozenPosition","FrozenClosing","FrozenPremium","LastTradeID","LastOrderLocalID","Currency","PositionProfit","TodayPosition","FrozenTodayClosing","TradeType","AccountID","LastPrice","PositionClose","YdPositionClose","YdFrozenClosing","CacalProfitPosition"
"guofu","SHFE","guofu000005","0385","01350319","ag1706","0","1","41.200000","4","2040.000000","4","2040.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000005","0.000000","0","0","0","0"
"guofu","SHFE","guofu000006","0385","01518111","ag1610","1","1","86.800000","8","8520.000000","8","8520.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000006","0.000000","0","0","0","0"
"guofu","SHFE","guofu000006","0385","01518111","ag1701","0","1","14.600000","2","720.000000","2","720.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000006","0.000000","0","0","0","0"
"guofu","SHFE","guofu000006","0385","01518111","ag1701","1","1","4765.200000","1254","451440.000000","1254","451440.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000006","0.000000","0","0","0","0"
"guofu","SHFE","guofu000006","0385","01518111","ag1706","0","1","10.300000","1","510.000000","1","510.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000006","0.000000","0","0","0","0"
"guofu","SHFE","guofu000006","0385","01518111","ag1706","1","1","10.600000","2","1020.000000","2","1020.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000006","0.000000","0","0","0","0"
"guofu","SHFE","guofu000007","0385","00758756","ag1701","0","1","3569.700000","489","176040.000000","489","176040.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000007","0.000000","0","0","0","0"
"guofu","SHFE","guofu000007","0385","00758756","ag1701","1","1","34.200000","9","3240.000000","9","3240.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000007","0.000000","0","0","0","0"
"guofu","SHFE","guofu000008","0385","01492295","ag1701","0","1","2263.000000","310","111600.000000","310","111600.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000008","0.000000","0","0","0","0"
"guofu","SHFE","guofu000008","0385","01492295","ag1701","1","1","3.800000","1","360.000000","1","360.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000008","0.000000","0","0","0","0"
"guofu","SHFE","guofu000009","0385","01543679","ag1611","0","1","159.200000","8","7920.000000","8","7920.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000009","0.000000","0","0","0","0"
"guofu","SHFE","guofu000009","0385","01543679","ag1701","1","1","1865.800000","491","176760.000000","491","176760.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000009","0.000000","0","0","0","0"
"guofu","SHFE","guofu000009","0385","01543679","ag1703","0","1","19.400000","2","960.000000","2","960.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000009","0.000000","0","0","0","0"
"guofu","SHFE","guofu000009","0385","01543679","im1611","0","1","172971.600000","51","1729716.000000","51","1729716.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000009","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1610","0","1","128.400000","6","6390.000000","6","6390.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1610","1","1","21.700000","2","2130.000000","2","2130.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1611","0","1","39.800000","2","1980.000000","2","1980.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1611","1","1","30.300000","3","2970.000000","3","2970.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1701","0","1","9351.300000","1281","461160.000000","1281","461160.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1701","1","1","72.200000","19","6840.000000","19","6840.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","ag1703","1","1","5.000000","1","480.000000","1","480.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","im1611","0","1","339160.000000","100","3391600.000000","100","3391600.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000010","0385","00458001","im1611","1","1","3391.600000","1","33916.000000","1","33916.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000010","0.000000","0","0","0","0"
"guofu","SHFE","guofu000011","0385","00981752","ag1610","1","1","65.100000","6","6390.000000","6","6390.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000011","0.000000","0","0","0","0"
"guofu","SHFE","guofu000011","0385","00981752","ag1611","1","1","30.300000","3","2970.000000","3","2970.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000011","0.000000","0","0","0","0"
"guofu","SHFE","guofu000011","0385","00981752","ag1701","0","1","3204.700000","439","158040.000000","439","158040.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000011","0.000000","0","0","0","0"
"guofu","SHFE","guofu000011","0385","00981752","im1611","0","1","508740.000000","150","5087400.000000","150","5087400.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000011","0.000000","0","0","0","0"
"guofu","SHFE","guofu000012","0385","00257348","ag1701","0","1","29.200000","4","1440.000000","4","1440.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000012","0.000000","0","0","0","0"
"guofu","SHFE","guofu000012","0385","00257348","im1611","0","1","681711.600000","201","6817116.000000","201","6817116.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000012","0.000000","0","0","0","0"
"guofu","SHFE","guofu000012","0385","00257348","im1611","1","1","1699191.600000","501","16991916.000000","501","16991916.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000012","0.000000","0","0","0","0"
"guofu","SHFE","guofu000012","0385","00257348","sn1610","0","1","2068.700000","1","103430.000000","1","103430.000000","0.000000","0","0","0.000000","0","0","1","0.000000","0","0","0","000012","0.000000","0","0","0","0"
